DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				DAWS	-139.11	64.05		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		MCMU	-111.21	56.66		RANK	-92.11	62.82		TALO	-93.55	69.54		WGRY	-120.03	51.88		BRD	-99.97	49.87		CBB	-105.03	69.12		FCC	-94.09	58.76		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52		

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			
01-01				20.03				21.46				14.37				11.45				10.54				12.56				20.33				6.61				3.99				20.9				7.49				20.63				5.78				2.27				19.33				2.04				4.84		
01-02				17.46				18.68				12.26				11.01				8.68				12.58				9.99				5.25				3.41				15.67				9.49				8.98				5.48				2.12				10.02				2.01				3.12		
01-03				14.93				16.72				7.67				4.78				5.62				7.61				7.75				4.36				1.91				8.99				3.54				12.32				3.37				1.04				9.23				1.32				2.73		
01-04				29.52				24.03				14.83				12.16				9.77				10.5				16.11				8.35				4.58				14.02				11.51				19.72				8.56				3.34				23.56				3.46				5.09		
01-05				30.24				46.44				55.88				73.54				38.84				496.13				44.85				19.62				21.5				34.52				161.56				73.98				27.4				14.38				31.41				11.64				13.68		
01-06				40.71				104.04				104.04				199.01				72.34				435.61				136.91				32.35				28.42				157.54				256.54				153.22				49.26				19.45				45.3				16.4				21.32		
01-07				32.28				67.34				67.34				73.73				38.31				190.6				68.13				18.61				15.58				70.86				87.47				109.6				26.1				10.41				32.31				9.84				13.72		
01-08				34.17				51.43				59.85				42.2				20.01				102.39				23.51				9.3				10.39				38.35				70.33				111.49				13.02				7.96				16.59				6.88				6.01		
01-09				138.78				243.18				189.02				73.98				51.05				97.11				25.65				22.55				17.37				57.49				140.29				135.86				32.43				8.44				20.27				5.39				13.06		
01-10				497.27				463.7				357.8				150.66				149.42				243.41				95.11				56.2				48.3				143.69				271.21				271.08				98.07				22.65				67.05				13.42				39.22		
01-11				281.81				212.75				237.81				121.48				76.59				246.42				50.91				18.98				19.23				58.13				198.65				259.79				44.01				14.83				31.61				15.57				12.99		
01-12				233.81				210.34				165.47				87.31				56.27				183.38				64.22				21.25				19.77				59.83				165.32				142.31				25.01				10.27				43.03				15.13				15.32		
01-13				114.71				168.64				76.54				54.08				34.7				192.68				145.28				19.12				14.16				98.42				84.87				98.73				24.16				15.49				109.52				21.49				16.62		
01-14				309.22				247.95				128.14				47.97				49.15				232.76				189.12				28.4				27.2				173.88				67.75				97.7				34.81				28.37				112.69				28.62				23.34		
01-15				537.53				338.92				207.31				108.73				119.54				205.58				151.52				65.38				42.81				108.33				111.53				197.0				82.14				43.2				136.96				45.35				52.77		
01-16				247.01				119.22				95.79				85.29				40.27				144.9				274.96				24.97				30.23				238.44				101.46				284.36				26.38				23.79				149.78				23.82				20.1		
01-17				98.05				78.55				56.57				86.52				44.52				122.78				315.26				31.54				38.68				286.86				76.03				149.2				38.13				25.39				219.54				17.24				25.28		
01-18				68.98				48.42				44.38				57.11				33.02				99.22				304.69				23.69				21.16				286.88				53.88				198.96				27.6				13.07				200.8				20.8				20.31		
01-19				81.28				63.25				44.09				52.39				34.82				84.86				133.86				28.78				19.32				161.98				37.4				117.36				28.06				12.21				106.18				22.05				22.35		
